"ep","cases_with_ep","support"
"TOWED/STORED VEHICLE -> 487(A) PC GRAND THEFT",16,0.0264026402640264
"TOWED/STORED VEHICLE -> 594(B)(1)PC  VANDALISM +$400",16,0.0264026402640264
"TOWED/STORED VEHICLE -> CASUALTY REPORT",16,0.0264026402640264
"TRAFFIC-ACCIDENT INJURY -> 10851 VC AUTO THEFT LOCATE",16,0.0264026402640264
"10851 VC AUTO THEFT LOCATE -> 11377(A)HS POSS AMPHETAMINES",15,0.0247524752475248
"10851 VC AUTO THEFT LOCATE -> 459 PC  BURGLARY BUSINESS",15,0.0247524752475248
"10851 VC AUTO THEFT LOCATE -> 5150 WI DANGER SELF/OTHERS",15,0.0247524752475248
"10851(A)VC TAKE VEH W/O OWNER -> 11357(B)HS POSS -28.5GR MARIJ",15,0.0247524752475248
"10851(A)VC TAKE VEH W/O OWNER -> LOST PROPERTY - I RPT",15,0.0247524752475248
"11357(B)HS POSS -28.5GR MARIJ -> 10851(A)VC TAKE VEH W/O OWNER",15,0.0247524752475248
"245(A)(1)AWDW/NO FIREARM/CIVIL -> 10851(A)VC TAKE VEH W/O OWNER",15,0.0247524752475248
"245(A)(1)AWDW/NO FIREARM/CIVIL -> 459 PC  BURGLARY VEHICLE",15,0.0247524752475248
"459 PC  BURGLARY BUSINESS -> 459 PC  BURGLARY RESIDENCE",15,0.0247524752475248
"459 PC  BURGLARY RESIDENCE -> 245(A)(1)AWDW/NO FIREARM/CIVIL",15,0.0247524752475248
"459 PC  BURGLARY VEHICLE -> 11350(A)HS POSS CNTRL SUBST",15,0.0247524752475248
"459 PC  BURGLARY VEHICLE -> 484 PC   PETTY THEFT/INSIDE",15,0.0247524752475248
"459 PC  BURGLARY VEHICLE -> 484 PC PETTY THEFT",15,0.0247524752475248
"484 PC   PETTY THEFT/INSIDE -> 10851(A)VC TAKE VEH W/O OWNER",15,0.0247524752475248
"484 PETTY THEFT/LICENSE PLATE -> TOWED/STORED VEHICLE",15,0.0247524752475248
"487(A) PC GRAND THEFT -> TOWED/STORED VEHICLE",15,0.0247524752475248
"5150 WI DANGER SELF/OTHERS -> TOWED/STORED VEHICLE",15,0.0247524752475248
"594(B)(1)PC  VANDALISM +$400 -> TOWED/STORED VEHICLE",15,0.0247524752475248
"MISCELLANEOUS I RPT (ZMISC) -> TOWED/STORED VEHICLE",15,0.0247524752475248
"MISSING PERSON -> 459 PC  BURGLARY BUSINESS",15,0.0247524752475248
"MISSING PERSON -> 484 PETTY THEFT/LICENSE PLATE",15,0.0247524752475248
"THREATS - I RPT -> 10851(A)VC TAKE VEH W/O OWNER",15,0.0247524752475248
"TOWED/STORED VEH-14602.6 -> 20002(A) HIT/RUN",15,0.0247524752475248
"TOWED/STORED VEH-14602.6 -> 484 PC PETTY THEFT",15,0.0247524752475248
"TOWED/STORED VEHICLE -> NON INJ HR/MAIL OUT REPORT",15,0.0247524752475248
"TOWED/STORED VEHICLE -> THREATS - I RPT",15,0.0247524752475248
"TRAFFIC-ACCIDENT INJURY -> MISSING PERSON",15,0.0247524752475248
"10851 VC AUTO THEFT LOCATE -> 211 PC  ROBBERY UNSPECIFIED",14,0.0231023102310231
"10851 VC AUTO THEFT LOCATE -> 484 PETTY THEFT-SHOPLIFT",14,0.0231023102310231
"10851 VC AUTO THEFT LOCATE -> 594(B)(1)PC  VANDALISM +$400",14,0.0231023102310231
"10851 VC AUTO THEFT LOCATE -> THREATS - I RPT",14,0.0231023102310231
"10851 VC AUTO THEFT LOCATE -> TRAFFIC-ACCIDENT-NON INJURY",14,0.0231023102310231
"10851(A)VC TAKE VEH W/O OWNER -> THREATS - I RPT",14,0.0231023102310231
"11364 HS POSS DRUG PARAPH -> 594(B)(2)(A) VANDALISM/ -$400",14,0.0231023102310231
"11377(A)HS POSS AMPHETAMINES -> 459 PC  BURGLARY VEHICLE",14,0.0231023102310231
"211 PC  ROBBERY UNSPECIFIED -> TOWED/STORED VEH-14602.6",14,0.0231023102310231
"23152(A) VC DUI-ALCOHOL/DRUGS -> 459 PC  BURGLARY RESIDENCE",14,0.0231023102310231
"242 PC  BATTERY CIVILIAN -> 459 PC  BURGLARY VEHICLE",14,0.0231023102310231
"242 PC  BATTERY CIVILIAN -> TRAFFIC-ACCIDENT INJURY",14,0.0231023102310231
"245(A)(1)AWDW/NO FIREARM/CIVIL -> TOWED/STORED VEHICLE",14,0.0231023102310231
"459 PC  BURGLARY BUSINESS -> TOWED/STORED VEH-14602.6",14,0.0231023102310231
"459 PC  BURGLARY RESIDENCE -> 11357(B)HS POSS -28.5GR MARIJ",14,0.0231023102310231
"459 PC  BURGLARY RESIDENCE -> 243(E)1 BATTERY NONCOHAB SPOUS",14,0.0231023102310231
"459 PC  BURGLARY RESIDENCE -> MISCELLANEOUS I RPT (ZMISC)",14,0.0231023102310231
"459 PC  BURGLARY VEHICLE -> MISCELLANEOUS I RPT (ZMISC)",14,0.0231023102310231
"484 PC   PETTY THEFT/INSIDE -> TRAFFIC-ACCIDENT INJURY",14,0.0231023102310231
"484 PC   PETTY THEFT/INSIDE -> TRAFFIC-ACCIDENT-NON INJURY",14,0.0231023102310231
